Host Since;Host Response Rate;Is Superhost;Latitude;Longitude;Is Exact Location;Accomodates;Bathrooms;Bedrooms;Beds;Guests Included;Min Nights;Reviews;Overall Rating;Accuracy Rating;Cleanliness Rating;Checkin Rating;Communication Rating;Location Rating;Value Rating;Instant Bookable;Price;Host Response Time_a few days or more;Host Response Time_unknown;Host Response Time_within a day;Host Response Time_within a few hours;Host Response Time_within an hour;Property Type_Apartment;Property Type_Bed and breakfast;Property Type_Boat;Property Type_Boutique hotel;Property Type_Bungalow;Property Type_Condominium;Property Type_Guest suite;Property Type_Guesthouse;Property Type_Hostel;Property Type_Hotel;Property Type_House;Property Type_Loft;Property Type_Other;Property Type_Serviced apartment;Property Type_Townhouse;Room Type_Entire home/apt;Room Type_Private room;Room Type_Shared room;Neighborhood Group_Charlottenburg-Wilm.;Neighborhood Group_Friedrichshain-Kreuzberg;Neighborhood Group_Lichtenberg;Neighborhood Group_Marzahn - Hellersdorf;Neighborhood Group_Mitte;Neighborhood Group_Neuk̦lln;Neighborhood Group_Pankow;Neighborhood Group_Reinickendorf;Neighborhood Group_Spandau;Neighborhood Group_Steglitz - Zehlendorf;Neighborhood Group_Tempelhof - Sch̦neberg;Neighborhood Group_Treptow - K̦penick;Boy or Girl?_Boy;Boy or Girl?_Girl;Distance from barycenter
1206;;0.0;52.54652;13.41792;0.0;2.0;1.0;1.0;1.0;1.0;2.0;6;100.0;10.0;10.0;10.0;10.0;9.0;10.0;0.0;26.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.038097083347636895
2224;;0.0;52.56511999999999;13.42214;0.0;2.0;1.0;2.0;2.0;2.0;7.0;6;90.0;9.0;9.0;10.0;10.0;9.0;10.0;0.0;41.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0.05714984263081203
1188;;0.0;52.54741;13.42521;0.0;3.0;1.0;1.0;2.0;1.0;1.0;2;100.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;50.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0.04151574936828814
318;;0.0;52.50958000000001;13.45144;0.0;2.0;1.0;1.0;1.0;1.0;2.0;4;100.0;10.0;10.0;10.0;10.0;10.0;9.0;0.0;50.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.04401809874240133
2185;92.0;1.0;52.52995;13.41558;1.0;3.0;1.0;1.0;2.0;1.0;6.0;0;;;;;;;;1.0;55.0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0.021647990212548512
991;100.0;1.0;52.44826;13.40608;1.0;3.0;1.0;1.0;2.0;2.0;1.0;10;99.0;10.0;9.0;10.0;10.0;10.0;10.0;1.0;39.0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0.061652209160210525
2249;80.0;0.0;52.494530000000005;13.32802;0.0;4.0;1.0;2.0;2.0;2.0;5.0;5;97.0;10.0;10.0;10.0;10.0;10.0;10.0;0.0;94.0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0.08087648814222662
1471;100.0;0.0;52.50021;13.43514;0.0;4.0;2.0;1.0;2.0;1.0;6.0;14;94.0;9.0;9.0;10.0;10.0;10.0;10.0;0.0;73.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.029361176275054045
606;;0.0;52.49598000000001;13.39327;0.0;2.0;1.0;2.0;1.0;2.0;4.0;13;93.0;9.0;10.0;9.0;9.0;10.0;9.0;0.0;100.0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0.019849628103909417
1099;100.0;0.0;52.53145;13.3171;0.0;4.0;1.0;1.0;4.0;4.0;6.0;2;100.0;10.0;9.0;10.0;10.0;9.0;10.0;0.0;50.0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0.0928588157387188
